vertex,score
0,2.340315004554857E-4
1,8.83776733957791E-5
2,1.7628817573954702E-4
3,2.7207991061503774E-4
4,6.0491417109415184E-5
5,3.360448055439978E-4
6,5.814061240955605E-4
7,3.334061934102451E-4
8,2.349827050467146E-4
9,2.3128688563583255E-4
10,2.542790533930806E-4
11,2.2693854813319583E-4
12,2.275228818475535E-4
13,1.3132300602059586E-4
14,3.010842943486591E-4
15,1.4039919906124582E-4
16,1.79526807763501E-4
17,2.235710870593537E-4
18,1.2148785813869508E-4
19,1.4382363524038754E-4
20,1.9451997849394558E-4
21,1.642757303403801E-4
22,3.635022271244913E-4
23,2.2462663705425344E-4
24,4.224023517801843E-4
25,1.258871034438598E-4
26,2.3317117165089544E-4
27,2.1198360274751738E-4
28,3.8907131557661004E-4
29,2.8245458293836844E-4
30,3.0143424339058004E-4
31,3.0246892456607113E-4
32,4.515086891113782E-4
33,1.6534471727733095E-4
34,1.8379174304968048E-4
35,1.2323097701086349E-4
36,4.100230031556399E-4
37,1.331995366442353E-4
38,1.6586280187417033E-4
39,3.1804259180308466E-4
40,3.298053671991395E-4
41,1.6924914072810696E-4
42,1.5610583798609298E-4
43,2.4646293167743277E-4
44,2.0809799934392285E-4
45,5.7485672782924196E-5
46,3.038705906393918E-4
47,1.9228458077650613E-4
48,3.7442606031644316E-4
49,1.819490048493149E-4
50,3.494037110456616E-4
51,1.5951752815058763E-4
52,2.1456135757880147E-4
53,2.479852598013906E-4
54,1.6312736706860262E-4
55,8.905659832286368E-5
56,2.1095877257821394E-4
57,1.793219924330457E-4
58,2.4458789394590986E-4
59,1.3350002917314046E-4
60,1.9503675801314498E-4
61,7.568960847420349E-5
62,5.478878777676264E-5
63,8.03984172274719E-5
64,2.0166950336309835E-4
65,1.1645046785491555E-4
66,3.229648086377236E-4
67,2.2710176288291088E-4
68,2.0552360248808188E-4
69,1.7354413334839654E-4
70,1.2291851190127803E-4
71,1.8427612455774805E-4
72,3.902453618118887E-4
73,2.992105586855216E-4
74,3.7554589424640086E-4
75,2.0348614348274013E-4
76,8.320090093637401E-5
77,2.654147374319336E-4
78,4.3100218674686984E-5
79,3.8660894096831654E-4
80,2.269372197428509E-4
81,1.6976668129048373E-4
82,1.910131217651821E-4
83,1.27910634827379E-4
84,2.906061177677431E-4
85,1.888517628353169E-4
86,1.3780647059597265E-4
87,3.748434762730326E-4
88,3.9285768862237617E-4
89,3.327935295569758E-4
90,1.3667012648799258E-4
91,2.663642592144556E-4
92,2.721788011968122E-4
93,2.3448359750964437E-4
94,2.0290310863243854E-4
95,1.155303893441839E-4
96,2.0947835885819612E-4
97,2.501527956979579E-4
98,1.9773891490231936E-4
99,3.8043268736234943E-4
100,1.8674198071770635E-4
101,2.6684432797928655E-4
102,3.0335914039810347E-4
103,2.4337474346458761E-4
104,1.2436415782920225E-4
105,3.993524247536818E-4
106,2.665466547020529E-4
107,3.773800335909276E-4
108,3.908880247506444E-4
109,1.4129565223354367E-4
110,1.915692864521483E-4
111,2.736567255936807E-4
112,3.251241735268617E-4
113,2.5812232231166467E-4
114,1.2642251110923496E-4
115,1.0518267341346702E-4
116,3.318721333218107E-4
117,7.809836244712323E-5
118,1.8906627159547777E-4
119,2.2451188940292028E-4
120,1.433662110512293E-4
121,4.268199925683388E-4
122,1.9254610637224671E-4
123,6.146683582196784E-5
124,1.920354795144077E-4
125,1.8726023680205335E-4
126,1.930353610238054E-4
127,1.4415429703917704E-4
128,1.4212452761424568E-4
129,1.887186239544685E-4
130,3.071266047814332E-4
131,1.3491928002109938E-4
132,3.667666157053282E-4
133,3.7500000000000003E-5
134,3.6726158825243295E-4
135,2.3607498900599452E-4
136,1.8127568594833942E-4
137,2.9500468582188645E-4
138,1.5469481164871512E-4
139,2.611648974635381E-4
140,2.791902960328805E-4
141,1.7287824243465835E-4
142,5.001644448078594E-4
143,3.024159307708415E-4
144,2.486190598889202E-4
145,3.7500000000000003E-5
146,1.8114746722086691E-4
147,4.088180497206772E-4
148,3.546489575413914E-4
149,1.874121017668033E-4
150,2.3039316234592063E-4
151,3.7500000000000003E-5
152,1.2439087471632985E-4
153,1.286784715097678E-4
154,2.5967962567435414E-4
155,2.358983451201515E-4
156,2.127169873536307E-4
157,3.565466640777987E-4
158,2.206745123437549E-4
159,2.1980133889373333E-4
160,9.450917801371493E-5
161,2.0499497232298055E-4
162,2.5581339282968667E-4
163,2.3977730958361682E-4
164,1.672032428065394E-4
165,1.5566411589845023E-4
166,3.08989044700428E-4
167,2.006350493196077E-4
168,3.7500000000000003E-5
169,2.3705792807579839E-4
170,1.7467890056642286E-4
171,8.793056776684093E-5
172,2.464564263123422E-4
173,1.3227975367050362E-4
174,1.4423116701445867E-4
175,4.896012286078401E-4
176,2.726387968624544E-4
177,4.953884450833151E-4
178,2.2473257967537872E-4
179,1.787518246062174E-4
180,2.924728248496492E-4
181,1.8947331734313588E-4
182,1.2872577011645772E-4
183,2.5453072057611873E-4
184,2.9263134199355686E-4
185,1.3912458151740922E-4
186,4.91191117952616E-4
187,1.1819828426050009E-4
188,2.713327736775125E-4
189,2.742645060519557E-4
190,2.4063174247303677E-4
191,1.2259659387086204E-4
192,3.1866970033946155E-4
193,1.2223623825196033E-4
194,2.8574274411452425E-4
195,1.2594851895541653E-4
196,1.9513248485967106E-4
197,3.075533291534985E-4
198,4.0762307061174727E-4
199,2.4151508976480202E-4
200,2.205693969530574E-4
201,1.4742637462095755E-4
202,1.0848783186675134E-4
203,1.4440604600601735E-4
204,2.1587079986518857E-4
205,2.2211008992384498E-4
206,4.107262402505522E-4
207,8.333583816598052E-5
208,2.0290870401858563E-4
209,1.8600514152570906E-4
210,2.1122789021478722E-4
211,2.3423217625367595E-4
212,1.9126169817517785E-4
213,3.337819253610922E-4
214,1.0764445617368195E-4
215,2.96637974832097E-4
216,3.092508846235889E-4
